"","age","profession","stop1","anger1","forgive1.1","forgive1.2","forgive1.3","forgive1.4","forgive1.5","sincerity1.1","sincerity1.2","sincerity1.3","stop2","anger2","forgive2.1","forgive2.2","forgive2.3","forgive2.4","forgive2.5","sincerity2.1","sincerity2.2","sincerity2.3","stop3","anger3","forgive3.1","forgive3.2","forgive3.3","forgive3.4","forgive3.5","sincerity3.1","sincerity3.2","sincerity3.3","stop4","anger4","forgive4.1","forgive4.2","forgive4.3","forgive4.4","forgive4.5","sincerity4.1","sincerity4.2","sincerity4.3","sex","position","intence","apology.cost","forgive","sincerity","cost.num","int.num"
"1",35,3,3,4,2,4,5,2,1,5,5,5,4,4,3,3,3,3,3,4,4,4,3,4,2,3,4,2,2,4,4,4,3,3,2,5,4,2,2,4,4,4,"male",6,"No-Intence","Costly",3.85,4.25,1,0
"2",33,4,5,5,1,5,5,1,1,5,5,5,5,5,1,5,4,1,1,4,5,5,5,3,1,1,3,1,3,3,5,5,3,2,4,2,3,3,2,2,4,4,"male",12,"Intence","Costly",4,4.33333333333333,1,1
"3",38,3,5,5,4,2,3,5,4,2,4,3,5,5,3,3,3,3,4,3,2,2,5,5,3,3,2,4,5,3,3,2,3,4,3,2,2,4,2,4,2,3,"male",8,"Intence","Costly",2.4,2.75,1,1
"4",38,1,3,4,3,4,4,3,2,4,4,4,4,4,2,3,3,3,2,3,3,3,3,4,3,3,4,3,2,3,4,2,4,4,2,4,4,3,2,4,4,4,"male",6,"Intence","Non-Costly",3.55,3.5,0,1
"5",38,4,1,1,1,5,5,1,1,3,2,2,1,4,1,4,4,1,1,2,3,3,4,5,4,1,1,4,4,4,5,5,4,5,3,2,3,3,2,4,5,4,"male",10,"No-Intence","Non-Costly",3.55,3.5,0,0
"6",36,1,2,3,3,4,3,3,2,4,2,4,3,4,3,3,3,3,2,3,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,3,4,3,3,4,3,4,"male",6,"No-Intence","Costly",3.15,3.58333333333333,1,0
"7",33,1,3,5,4,1,2,5,3,2,2,1,5,4,5,2,2,5,2,2,2,2,5,5,5,1,1,5,2,1,2,1,3,4,4,2,2,4,2,2,3,2,"male",6,"Intence","Non-Costly",1.95,1.83333333333333,0,1
"8",37,3,2,3,2,4,4,2,2,3,3,3,4,4,2,4,4,2,3,3,4,3,4,5,3,3,4,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,"male",6,"No-Intence","Non-Costly",3.55,3.16666666666667,0,0
"9",34,1,3,3,2,4,4,2,1,4,4,4,4,4,2,4,4,2,1,5,5,5,4,4,1,5,5,1,1,5,5,5,2,3,1,4,4,1,1,5,5,5,"male",2,"Intence","Costly",4.5,4.75,1,1
"10",37,2,4,4,2,4,4,2,2,5,5,5,5,5,4,3,3,4,3,3,3,2,3,4,2,4,4,2,2,4,5,4,3,3,2,4,4,2,2,5,4,5,"female",7,"No-Intence","Costly",3.65,4.16666666666667,1,0
"11",31,4,2,3,2,4,4,2,1,4,4,4,4,4,3,3,4,2,3,4,3,3,1,2,1,5,5,1,1,5,5,5,3,4,1,4,5,2,1,5,5,5,"male",6,"No-Intence","Costly",4.3,4.33333333333333,1,0
"12",31,4,3,4,2,4,4,2,2,4,4,4,3,4,2,4,4,2,2,4,4,4,2,3,2,4,5,2,2,5,4,5,3,4,2,3,4,2,2,4,4,4,"male",5,"No-Intence","Costly",4,4.16666666666667,1,0
"13",34,1,3,4,1,4,5,1,1,5,5,5,4,4,3,3,3,4,2,3,2,2,4,5,3,3,3,4,2,3,3,3,4,4,4,3,3,4,2,3,4,3,"female",6,"Intence","Non-Costly",3.4,3.41666666666667,0,1
"14",36,3,3,4,3,3,4,2,3,3,4,3,2,3,3,3,4,3,2,3,4,3,3,4,3,2,3,3,3,4,3,4,2,3,4,2,3,3,4,2,4,3,"male",4,"Intence","Non-Costly",3,3.33333333333333,0,1
"15",26,2,2,4,2,4,4,2,1,5,5,4,1,2,1,5,4,1,1,5,5,5,1,4,1,4,4,1,1,5,5,5,2,5,1,2,2,2,1,4,4,2,"male",4,"No-Intence","Costly",4.3,4.5,1,0
"16",38,1,3,2,2,3,4,3,3,3,3,3,2,3,3,4,3,2,2,2,3,3,4,3,3,3,3,2,2,2,3,2,4,4,3,2,4,3,2,3,3,2,"male",5,"No-Intence","Costly",3.4,2.66666666666667,1,0
"17",38,3,3,4,1,4,4,2,1,5,5,4,4,5,2,3,4,2,2,4,2,4,4,5,5,1,2,5,4,1,2,1,3,3,1,5,5,1,1,5,4,5,"male",7,"Intence","Costly",3.65,3.5,1,1
"18",33,1,4,4,5,2,2,5,3,2,2,4,5,5,4,2,5,4,2,4,4,3,2,3,1,5,5,1,1,5,5,5,4,5,4,2,2,5,3,2,4,4,"female",4,"Intence","Costly",2.95,3.66666666666667,1,1
"19",25,1,3,4,3,1,1,2,4,1,1,3,4,4,1,5,3,5,1,1,2,4,5,2,4,1,1,3,2,3,1,2,4,1,2,2,3,3,1,4,3,4,"female",4,"No-Intence","Non-Costly",2.9,2.41666666666667,0,0
"20",34,4,3,3,2,3,3,2,1,3,2,3,4,5,3,2,3,4,1,2,2,2,4,5,4,2,2,4,1,2,2,2,4,4,3,2,3,2,1,3,4,3,"female",12,"No-Intence","Non-Costly",3.2,2.5,0,0
"21",36,1,3,4,2,4,4,2,1,5,5,5,3,3,2,4,4,2,2,4,3,4,2,3,2,4,5,2,1,4,3,4,2,3,1,4,4,2,2,4,3,5,"male",8,"Intence","Costly",4.2,4.08333333333333,1,1
"22",31,1,4,3,4,4,4,3,4,3,3,3,4,3,3,4,3,5,4,4,4,3,4,3,3,3,3,4,4,3,2,2,3,4,3,4,4,4,4,3,3,3,"male",7,"Intence","Costly",2.8,3,1,1
"23",34,3,4,5,4,3,3,4,1,3,5,4,5,5,4,3,3,5,1,3,5,4,5,5,5,1,1,5,3,1,5,1,4,4,3,2,4,4,1,4,5,5,"female",6,"No-Intence","Non-Costly",2.6,3.75,0,0
"24",36,1,4,5,4,3,3,4,3,3,5,3,4,4,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,4,4,1,2,4,4,4,"male",7,"Intence","Non-Costly",3.35,3.5,0,1
"25",24,1,1,1,1,5,5,1,1,5,3,4,5,5,5,3,2,4,2,3,5,3,3,4,3,4,4,3,1,4,5,4,4,4,2,4,4,3,1,4,4,4,"female",5,"No-Intence","Costly",3.8,4,1,0
"26",33,1,3,4,2,4,4,2,2,3,4,4,4,4,3,3,3,3,2,3,4,3,4,4,2,4,4,2,2,4,4,4,3,4,2,3,4,3,2,4,4,3,"male",8,"Intence","Non-Costly",3.7,3.66666666666667,0,1
"27",40,3,3,4,2,5,5,2,2,5,5,5,3,3,2,5,5,2,1,5,5,5,3,2,3,4,4,2,3,3,4,4,4,4,3,4,4,3,2,4,5,4,"female",5,"Intence","Costly",4.05,4.5,1,1
"28",37,1,3,4,3,4,3,3,4,3,2,3,4,4,4,3,2,4,4,2,4,2,4,4,4,2,2,4,4,2,4,2,2,2,3,3,3,3,2,3,2,3,"female",6,"No-Intence","Non-Costly",2.6,2.66666666666667,0,0
"29",38,1,1,2,1,5,4,1,1,5,4,5,2,3,2,4,4,1,1,4,3,4,2,4,1,4,4,1,1,4,5,4,2,3,2,3,3,1,1,3,4,4,"male",6,"No-Intence","Costly",4.45,4.08333333333333,1,0
"30",39,1,2,3,1,4,4,1,1,4,2,4,4,4,4,2,2,4,2,2,3,2,3,4,3,2,3,4,3,1,2,3,2,3,3,3,3,3,2,3,4,2,"male",8,"No-Intence","Non-Costly",3.2,2.66666666666667,0,0
"31",34,3,4,4,4,3,3,3,2,4,5,4,4,4,4,2,2,4,3,2,2,2,3,4,3,3,3,3,2,4,3,3,5,5,5,2,1,5,4,2,2,2,"male",6,"Intence","Costly",2.45,2.91666666666667,1,1
"32",25,4,1,4,2,5,5,2,2,4,4,5,4,3,4,2,3,3,2,4,4,2,1,2,2,3,3,3,1,3,4,2,3,3,2,4,4,1,1,4,5,4,"female",6,"No-Intence","Costly",3.8,3.75,1,0
"33",30,4,2,3,1,5,5,1,1,5,2,5,5,5,4,4,4,3,3,3,5,4,1,2,2,5,4,2,2,5,5,4,3,2,2,5,5,1,1,5,1,5,"female",4,"No-Intence","Costly",4.3,4.08333333333333,1,0
"34",34,1,4,4,2,4,4,3,2,4,4,4,3,4,2,4,4,3,3,4,2,4,3,3,3,2,2,3,3,3,3,3,4,4,4,2,2,4,3,3,4,2,"male",7,"Intence","Costly",3.05,3.33333333333333,1,1
"35",27,4,3,4,3,3,3,4,2,4,3,3,5,4,4,2,3,4,3,2,3,3,4,3,3,2,3,3,2,2,2,2,3,4,3,2,3,3,3,3,4,3,"male",6,"No-Intence","Non-Costly",2.8,2.83333333333333,0,0
"36",40,2,3,4,2,3,3,2,2,4,5,4,3,4,1,4,4,1,1,3,4,4,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,3,"female",6,"Intence","Costly",3.6,3.66666666666667,1,1
"37",38,4,4,1,1,5,5,1,1,5,5,5,4,5,1,4,5,1,1,4,5,4,5,5,5,2,2,4,3,2,2,2,2,3,2,3,4,3,1,4,4,4,"female",11,"Intence","Costly",3.9,3.83333333333333,1,1
"38",33,3,2,4,2,3,3,4,1,3,5,4,1,3,1,4,4,1,1,3,4,4,4,4,4,2,2,4,3,3,2,2,4,4,2,3,3,2,1,3,3,4,"male",5,"No-Intence","Non-Costly",3.5,3.33333333333333,0,0
"39",39,4,3,3,3,2,3,3,1,3,4,4,4,4,4,2,2,4,3,3,3,3,3,3,3,4,4,2,2,4,4,5,3,4,2,4,4,2,2,4,4,4,"female",7,"No-Intence","Costly",3.3,3.75,1,0
"40",33,3,1,3,2,5,5,1,1,5,5,5,3,4,3,4,4,1,2,4,5,4,2,3,2,4,3,1,1,3,4,4,3,4,3,3,4,1,1,4,5,4,"male",8,"Intence","Costly",4.25,4.33333333333333,1,1
"41",28,1,4,4,3,4,3,3,2,4,3,3,4,5,3,3,3,4,2,3,4,3,5,5,5,1,1,5,3,1,1,1,4,5,4,2,2,4,4,2,2,2,"male",5,"Intence","Non-Costly",2.45,2.41666666666667,0,1
"42",31,1,2,4,4,4,4,3,3,4,4,3,3,4,3,4,3,3,2,4,4,3,3,4,3,2,4,2,2,4,4,3,4,4,4,2,3,4,2,4,4,3,"female",6,"No-Intence","Non-Costly",3.15,3.66666666666667,0,0
"43",30,4,2,3,1,5,5,1,1,5,5,5,4,4,2,4,4,2,1,5,5,5,1,2,1,4,4,1,1,5,5,5,1,2,1,5,5,1,1,5,5,5,"male",7,"No-Intence","Costly",4.7,5,1,0
"44",35,3,1,3,2,3,5,2,1,4,4,4,4,5,5,2,2,4,3,3,3,4,3,5,4,2,1,3,4,1,5,1,1,3,1,3,4,1,2,5,4,5,"female",6,"No-Intence","Non-Costly",3.1,3.58333333333333,0,0
"45",40,4,2,3,2,4,4,2,2,3,3,4,3,4,3,3,3,2,2,3,3,3,2,3,2,4,4,2,1,3,4,3,3,4,2,3,3,2,2,3,4,4,"female",6,"No-Intence","Non-Costly",3.8,3.33333333333333,0,0
"46",39,1,2,2,1,5,5,1,1,5,5,5,4,4,4,2,2,4,4,4,4,2,3,3,1,5,5,1,1,3,4,4,3,3,1,5,5,1,1,4,4,5,"male",11,"No-Intence","Costly",4.25,4.08333333333333,1,0
"47",40,3,2,3,1,4,4,1,1,4,4,4,4,4,1,4,4,2,1,4,5,4,1,2,1,4,4,2,1,4,4,1,2,4,1,4,4,2,1,4,4,4,"male",6,"No-Intence","Non-Costly",4.45,3.83333333333333,0,0
"48",24,1,4,5,4,2,2,4,3,4,5,5,4,5,4,2,2,5,2,2,3,2,3,4,4,4,3,4,4,5,4,3,5,5,4,2,3,4,3,3,3,4,"male",6,"Intence","Non-Costly",2.35,3.58333333333333,0,1
"49",21,4,1,4,2,4,4,1,1,4,1,3,2,4,1,5,5,1,1,4,3,4,1,4,1,4,4,1,1,5,5,4,2,3,1,4,2,2,2,4,2,5,"male",1,"No-Intence","Costly",4.45,3.66666666666667,1,0
"50",34,3,3,3,2,5,5,2,1,4,4,5,4,3,3,4,4,2,1,4,3,4,5,5,4,3,3,5,1,2,3,3,4,5,3,3,3,4,1,3,4,3,"female",6,"Intence","Non-Costly",3.65,3.5,0,1
"51",36,1,4,4,3,4,3,4,4,3,4,4,4,3,4,3,4,2,2,3,3,4,4,4,4,4,4,2,3,4,4,3,4,3,3,3,3,4,4,4,3,4,"male",12,"Intence","Non-Costly",3.05,3.58333333333333,0,1
"52",40,3,2,3,2,3,4,3,1,3,3,2,3,4,3,4,4,2,1,4,5,3,1,3,1,4,4,2,2,4,3,3,4,4,3,2,1,4,3,2,2,2,"male",9,"No-Intence","Costly",3.55,3,1,0
"53",38,1,4,4,2,5,5,2,1,5,5,5,3,4,1,5,5,1,1,5,5,5,3,5,3,3,3,3,1,3,3,3,3,4,1,5,5,1,1,5,5,5,"male",6,"No-Intence","Costly",4.5,4.5,1,0
"54",34,1,5,4,2,4,2,2,1,2,2,4,5,5,5,2,2,4,2,1,2,2,4,4,2,3,4,4,1,2,4,2,4,5,4,2,2,4,2,2,4,2,"female",6,"Intence","Costly",3,2.41666666666667,1,1
"55",35,1,3,5,3,3,3,3,2,3,4,3,4,4,4,2,3,3,3,2,5,3,2,3,2,4,4,2,2,4,4,3,3,4,3,2,3,3,2,2,3,2,"female",6,"Intence","Costly",3.2,3.16666666666667,1,1
"56",23,1,2,4,2,4,3,2,1,4,4,4,2,3,1,5,4,1,1,5,4,4,2,2,2,2,4,2,2,4,4,4,3,4,1,2,2,2,2,4,4,4,"male",3,"No-Intence","Costly",3.95,4.08333333333333,1,0
"57",36,4,4,4,2,4,4,3,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,3,3,3,3,4,3,4,4,3,1,4,4,4,"female",6,"Intence","Non-Costly",3.65,3.75,0,1
"58",35,4,3,3,3,4,4,2,2,4,4,4,5,5,4,2,2,4,3,3,4,3,5,5,5,2,2,4,4,2,2,2,5,5,5,1,1,5,3,2,2,1,"female",6,"Intence","Non-Costly",2.3,2.75,0,1
"59",34,3,2,5,1,5,5,1,1,5,5,5,3,3,2,4,4,2,2,3,4,3,5,5,2,4,5,2,1,5,5,5,3,4,3,4,4,2,1,3,5,4,"unknown",12,"Intence","Costly",4.35,4.33333333333333,1,1
"60",38,1,1,2,1,5,5,1,1,5,4,4,5,5,4,2,2,4,1,2,2,2,2,4,1,4,4,1,1,4,4,3,4,4,3,3,3,4,1,4,5,4,"male",3,"Intence","Costly",3.85,3.58333333333333,1,1
"61",32,4,3,3,3,4,3,3,3,4,4,4,4,4,4,2,3,4,3,4,5,3,2,3,2,4,4,3,3,4,4,3,3,4,3,3,4,3,2,4,5,4,"female",6,"No-Intence","Non-Costly",3.15,4,0,0
"62",25,1,3,4,2,4,4,2,2,4,5,4,2,3,1,5,5,1,1,5,4,4,4,4,4,2,2,4,2,2,4,2,2,5,2,4,4,2,1,4,5,5,"female",7,"Intence","Costly",3.9,4,1,1
"63",30,1,3,4,4,3,4,2,3,4,2,3,5,2,1,5,5,1,1,4,3,5,2,2,1,2,2,1,1,1,1,2,5,1,2,3,4,1,1,4,5,4,"male",1,"No-Intence","Non-Costly",4.05,3.16666666666667,0,0
"64",40,1,4,5,3,3,3,3,2,3,5,3,5,5,5,2,2,4,3,1,2,1,4,5,4,3,2,4,4,2,2,1,3,4,4,3,3,4,3,3,3,2,"male",7,"Intence","Non-Costly",2.5,2.33333333333333,0,1
"65",29,4,1,2,1,4,5,1,1,5,5,5,2,3,2,4,4,2,1,4,3,4,1,2,1,5,5,1,1,5,5,5,2,3,2,4,4,1,1,4,4,4,"male",5,"No-Intence","Costly",4.6,4.41666666666667,1,0
"66",35,1,4,4,3,3,3,3,4,3,3,4,3,4,3,3,4,4,3,3,4,4,4,3,2,3,2,4,3,2,4,3,4,3,4,4,3,3,3,3,4,4,"male",7,"Intence","Costly",2.9,3.41666666666667,1,1
"67",37,1,1,1,1,5,5,1,1,3,1,3,1,2,1,4,4,1,1,2,3,2,3,3,1,4,4,1,1,3,5,4,4,4,3,2,2,2,1,3,5,2,"male",4,"Intence","Non-Costly",4.35,3,0,1
"68",33,1,2,3,1,5,4,1,1,4,5,4,4,5,3,2,2,3,4,2,4,2,4,5,3,3,4,3,4,4,5,5,1,3,1,5,5,1,1,5,4,3,"male",8,"No-Intence","Costly",3.8,3.91666666666667,1,0
"69",28,1,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,3,4,3,2,3,3,2,4,4,4,3,3,4,3,4,3,4,4,4,4,4,3,4,"male",9,"No-Intence","Non-Costly",2.9,3.41666666666667,0,0
"70",35,1,2,3,1,5,5,3,1,5,1,5,5,5,3,4,4,4,1,5,5,5,2,3,1,4,5,1,1,5,5,5,1,4,3,3,3,4,1,3,5,4,"female",6,"No-Intence","Costly",4.05,4.41666666666667,1,0
"71",35,1,4,4,3,4,3,3,3,3,5,4,4,4,4,3,3,4,3,2,5,2,3,4,2,4,3,4,3,3,4,3,3,3,4,2,3,4,4,2,4,3,"female",6,"Intence","Costly",2.8,3.33333333333333,1,1
"72",30,3,3,4,2,4,4,2,2,4,5,4,3,4,3,4,3,3,2,4,5,4,3,3,2,4,4,2,2,4,5,4,3,3,2,4,4,2,2,4,4,4,"male",6,"No-Intence","Costly",3.85,4.25,1,0
"73",36,3,2,4,1,4,4,2,1,5,4,5,3,4,3,4,3,4,1,2,3,2,5,5,4,3,3,4,1,3,5,4,2,5,2,4,4,1,1,3,4,3,"female",5,"Intence","Non-Costly",3.8,3.58333333333333,0,1
"74",36,4,3,4,2,2,4,2,1,3,2,3,4,4,4,1,2,4,4,2,2,2,4,4,3,2,3,3,3,2,2,2,5,5,5,1,2,5,4,2,2,1,"female",5,"Intence","Non-Costly",2.45,2.08333333333333,0,1
"75",37,1,2,3,2,2,4,2,2,4,3,4,5,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,4,4,4,4,4,2,2,4,3,2,3,3,"male",6,"Intence","Costly",2.95,3.33333333333333,1,1
"76",39,3,4,5,4,2,2,5,1,4,5,4,4,4,5,4,4,5,4,4,5,4,5,5,2,4,4,2,1,4,5,4,5,5,5,1,1,5,4,2,4,2,"female",9,"Intence","Costly",2.55,3.91666666666667,1,1
"77",40,3,3,3,3,4,4,2,2,3,4,4,4,4,3,3,3,4,3,3,4,3,4,4,3,3,3,3,2,3,5,3,3,4,3,3,4,3,3,3,5,4,"female",6,"Intence","Costly",3.25,3.66666666666667,1,1
"78",36,4,4,5,3,3,3,3,2,4,5,4,5,5,4,2,2,4,2,3,3,3,4,4,3,2,2,4,2,2,4,3,4,4,2,3,3,2,2,4,5,4,"male",9,"Intence","Costly",2.95,3.66666666666667,1,1
"79",31,1,3,4,3,2,3,3,2,4,5,2,3,4,2,3,3,1,1,3,4,4,2,4,2,4,5,3,2,4,4,3,3,4,3,2,3,2,1,4,5,3,"male",9,"Intence","Non-Costly",3.6,3.75,0,1
"80",27,3,3,4,2,4,5,1,3,4,4,4,3,4,3,4,4,3,1,3,3,3,3,4,2,2,3,3,1,3,3,2,2,3,1,3,4,2,1,5,4,4,"male",8,"Intence","Non-Costly",3.9,3.5,0,1
"81",32,3,3,3,2,5,5,1,1,4,2,4,4,4,2,3,4,2,2,3,3,3,4,3,3,3,2,3,2,3,3,2,2,3,2,4,3,2,1,3,3,3,"male",7,"No-Intence","Non-Costly",3.9,3,0,0
"82",29,4,5,4,1,5,4,2,2,4,3,4,2,2,1,5,5,1,1,3,3,3,5,5,4,4,2,5,1,5,5,5,4,4,3,3,5,4,1,3,5,3,"female",6,"Intence","Non-Costly",3.95,3.83333333333333,0,1
"83",39,1,2,2,1,5,5,1,1,5,2,5,4,4,2,4,3,2,3,5,5,5,2,3,2,4,4,1,1,4,5,4,4,5,3,3,3,3,3,5,4,4,"male",11,"No-Intence","Costly",4,4.41666666666667,1,0
"84",37,1,1,2,1,5,5,1,1,5,5,5,2,4,1,4,4,2,1,4,3,4,1,3,1,5,5,1,1,5,5,5,1,2,1,5,5,1,1,5,5,5,"male",11,"No-Intence","Non-Costly",4.85,4.66666666666667,0,0
"85",35,1,3,3,2,5,4,1,1,4,4,5,5,5,5,1,1,5,3,1,5,1,3,3,4,2,2,4,3,1,4,2,4,4,3,3,3,3,3,2,4,3,"male",6,"No-Intence","Non-Costly",2.8,3,0,0
"86",39,1,2,2,2,4,4,2,2,4,3,4,3,3,2,3,4,2,2,4,3,3,2,3,2,4,4,2,2,4,3,4,3,4,2,3,4,3,3,4,3,4,"female",5,"No-Intence","Costly",3.8,3.58333333333333,1,0
"87",22,2,3,4,2,4,4,2,2,4,5,4,3,4,4,3,2,4,3,3,5,3,3,2,4,3,3,4,3,3,5,4,4,4,4,3,2,4,3,4,5,4,"female",6,"No-Intence","Non-Costly",2.85,4.08333333333333,0,0
"88",37,4,1,3,1,5,5,1,1,5,5,4,2,3,2,3,3,3,1,3,4,3,1,1,1,5,5,1,1,5,4,5,2,5,2,1,2,4,1,2,5,2,"female",5,"No-Intence","Non-Costly",4.1,3.91666666666667,0,0
"89",29,4,3,4,3,3,3,3,2,4,5,4,3,4,3,3,3,3,2,3,4,3,2,4,1,4,4,1,2,4,5,4,2,3,2,4,3,2,2,4,5,4,"female",6,"No-Intence","Non-Costly",3.65,4.08333333333333,0,0
"90",25,1,4,4,3,4,4,3,3,4,5,4,3,4,2,4,4,2,2,4,4,4,3,3,3,4,3,3,3,3,4,3,4,5,3,3,4,3,3,3,4,4,"female",6,"No-Intence","Non-Costly",3.45,3.83333333333333,0,0
"91",40,3,3,4,2,3,4,3,3,3,4,4,3,4,2,4,4,2,3,4,3,4,2,3,2,3,3,2,2,4,5,4,2,4,2,2,4,2,3,3,5,4,"male",4,"No-Intence","Non-Costly",3.55,3.91666666666667,0,0
"92",34,1,3,3,3,4,4,2,3,3,4,4,4,3,3,4,4,3,4,4,3,2,3,4,3,3,4,4,4,4,3,4,4,4,4,4,2,4,4,3,3,3,"male",6,"No-Intence","Non-Costly",3,3.33333333333333,0,0
"93",40,3,3,3,3,3,3,3,2,3,3,3,5,5,4,3,3,4,2,2,3,3,4,4,5,2,2,5,4,1,2,2,5,5,5,1,1,5,3,1,3,1,"female",6,"No-Intence","Non-Costly",2.25,2.25,0,0
"94",29,1,2,3,3,4,2,3,4,4,5,4,4,4,4,2,3,3,3,3,3,3,3,3,1,2,2,3,2,2,3,1,4,5,4,3,3,4,3,3,4,3,"male",6,"Intence","Non-Costly",2.8,3.16666666666667,0,1
"95",34,4,2,2,2,4,4,2,2,5,4,5,5,5,4,2,3,4,2,3,5,3,4,4,4,3,4,4,1,3,5,3,4,4,3,4,3,3,2,4,4,4,"male",6,"Intence","Costly",3.3,4,1,1
"96",35,1,1,2,1,2,2,1,1,4,4,4,2,3,1,4,4,1,2,4,4,3,3,4,3,3,3,3,2,3,4,3,4,4,3,3,3,3,2,3,4,3,"male",5,"Intence","Non-Costly",3.65,3.58333333333333,0,1
"97",36,1,2,4,2,4,4,2,1,3,3,3,3,3,2,4,5,3,2,3,3,4,3,4,3,3,4,3,2,3,4,4,4,4,4,2,2,4,2,4,4,3,"male",6,"No-Intence","Non-Costly",3.5,3.41666666666667,0,0
